academicYearId,sendingCollege,receivingUniversity,major,requirement_title,for_course,deanza_equiv
75,De Anza College,UCLA,Comparative Literature/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ENGL 10A,ELIT 46B and ELIT 46A and ELIT 46AH
75,De Anza College,UCLA,Comparative Literature/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ENGL 10C,ELIT 46CH and ELIT 46C
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 32A,MATH 1C
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 32B,MATH 1D
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 33A,MATH 2B
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 33B,MATH 2A
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 31B,(MATH 1BH and MATH 1C) and (MATH 1C and MATH 1B) and (MATH 1CH and MATH 1B) and (MATH 1BH and MATH 1CH)
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 31A,MATH 1A
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,COMPTNG 10A,(CIS 22B and CIS 22A) and CIS 27
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,STATS 20,CIS 44H
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,STATS 10,MATH 10
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,STATS 12,MATH 10
75,De Anza College,UCLA,Data Theory/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,STATS 13,MATH 10
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,COMPTNG 10A,(CIS 22B and CIS 22A) and CIS 27
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 31A,MATH 1A
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 31B,(MATH 1BH and MATH 1C) and (MATH 1C and MATH 1B) and (MATH 1CH and MATH 1B) and (MATH 1BH and MATH 1CH)
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 32A,MATH 1C
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 32B,MATH 1D
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 33A,MATH 2B
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,MATH 33B,MATH 2A
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,CHEM 20A,(CHEM 1B and CHEM 1A)
75,De Anza College,UCLA,Atmospheric and Oceanic Sciences/B.S.,LOWER DIVISION MAJOR REQUIREMENTS,CHEM 20B,(CHEM 1B and CHEM 1C)
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ASIA AM 10,ASAM 1 and NAIS 31 and ASAM 11
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ASIA AM 20,ASAM 10 and ASAM 13 and ASAM 30
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ASIA AM 40,ASAM 12
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ASIA AM 50,ASAM 22
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,GENDER 10,WMST 1
75,De Anza College,UCLA,Labor Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,POL SCI 60,POLI 15
75,De Anza College,UCLA,American Indian Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,STATS 12,MATH 10
75,De Anza College,UCLA,American Indian Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ANTHRO 3,ANTH 2
75,De Anza College,UCLA,American Indian Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,GENDER 10,WMST 1
75,De Anza College,UCLA,American Indian Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,POL SCI 40,(POLI 1 or POLI 1H)
75,De Anza College,UCLA,International Development Studies/B.A.,ECONOMICS,ECON 2,ECON 1H and ECON 1
75,De Anza College,UCLA,International Development Studies/B.A.,ECONOMICS,ECON 1,ECON 2 and ECON 2H
75,De Anza College,UCLA,International Development Studies/B.A.,METHODOLOGY COURSES,SOCIOL 20,SOC 14
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,ANTHRO 3,ANTH 2
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,GEOG 3,GEO 4
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,GEOG 6,GEO 10
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,HIST 22,HIST 3C
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,GENDER 10,WMST 1
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,POL SCI 20,POLI 3
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,POL SCI 50,POLI 2
75,De Anza College,UCLA,International Development Studies/B.A.,SOCIAL SCIENCE,SOCIOL 1,SOC 1
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 20,ARTS 2A
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 23,(ARTS 2C and ARTS 2D)
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 22,ARTS 2C
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 21,ARTS 2B
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 27,ARTS 2H
75,De Anza College,UCLA,Art History/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ART HIS 31,ARTS 2G
75,De Anza College,UCLA,Asian American Studies/B.A.,LOWER DIVISION MAJOR REQUIREMENTS,ASIA AM 10,ASAM 1 and NAIS 31 and ASAM 11
